,dj,location,timestamp_start,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness
89,Felix Da Housecat,Circus,2160,Chuck Robert's  My House Vocal Mixed with 8Bar Loop From the Beggining of the  Next Track,2290.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.36901092529297,58113.5234375,1.3801374435424805,D,minor,1556.201416015625
90,Felix Da Housecat,Circus,2290,Gene Farris & Cajmere - Sauer's (Original Mix),2520.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.9686050415039,198654.859375,1.2065976858139038,D,minor,3545.900634765625
91,Felix Da Housecat,Circus,2520,Tiga - IAMWHATIAM,2735.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.88457489013672,356984.21875,1.13913094997406,C#,minor,5251.39794921875
92,Felix Da Housecat,Circus,2735,Yazoo - Don't Go,2865.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",125.00801849365234,268771.21875,1.2491778135299683,Bb,minor,4341.96728515625
93,Felix Da Housecat,Circus,2865,Henrik Schwarz - Take Words In Return (Return Version),3225.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",125.02684783935547,526657.6875,1.2048978805541992,F,minor,6814.34521484375
94,Felix Da Housecat,Circus,3225,James Brown - Bodyheat (Part II),3390.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.16576385498047,208320.296875,1.5512357950210571,G,minor,3660.5830078125
95,Felix Da Housecat,Circus,3390,Danny Ocean - Hoe¦Ê Verwagtinge (Original Mix),3470.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.03727722167969,149293.84375,2.002987861633301,F#,minor,2928.25
96,Felix Da Housecat,Circus,3470,Felix da Housecat - Frankie Meets Pauline,3688.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",123.97879791259766,412804.59375,1.3401525020599365,F,minor,5788.27197265625
97,Felix Da Housecat,Circus,3688,Roni Griffith - Spys (??? Edit),3857.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.02790069580078,233325.90625,1.2199312448501587,E,minor,3949.437744140625
98,Felix Da Housecat,Circus,3857,Floorplan - Sun In The Sky,3998.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.01589965820312,201557.03125,1.1744974851608276,E,minor,3580.525146484375
