Unnamed: 0.1,dj,location,timestamp,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness,pct_Positive,pct_Neutral,pct_Negative,face_count,reward,avg_motion_energy,peak_motion_energy
77,Felix Da Housecat,Circus,1220,Talking Heads - Burning Down The Vcid House (Lvte Nite Tuff Guy) (Pitched Up from 104 to 125),1440.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",125.0140151977539,193768.359375,1.2184079885482788,C,major,3487.22216796875,0.4166666666666667,0.4166666666666667,0.1666666666666666,48.0,0.3263354147935208,3.8938790241184336,60.37278747558594
78,Chase & Status,London,1225,Chopstick Dubplate ft. Ragga Twins & Bunny Lye lye - Give Me A Dubplate,1290.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",87.60279846191406,480714.0,1.0734198093414309,B,major,6410.09130859375,0.4642857142857143,0.3571428571428571,0.1785714285714285,112.0,0.42643079770439835,6.695299834561494,31.255878448486328
79,Yaeji,New_York,1230,AQXDM - Aegis (+ Teasing Wii in),1496.0,"Yaeji  Boiler Room New York - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Yaeji  Boiler Room New York - Boiler Room (720p, h264).mp3",135.5360565185547,280729.3125,1.5344796180725098,D,minor,4470.466796875,0.5481171548117155,0.200836820083682,0.2510460251046025,239.0,0.4085372444065494,5.422524513047317,44.92268371582031
80,Yung Singh,Melbourne,1281,Trotters Independent Traders - Burning,1467.0,"Yung Singh  Boiler Room Melbourne - Boiler Room (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Yung Singh  Boiler Room Melbourne - Boiler Room (720p, h264, youtube).mp3",138.63296508789062,56885.21875,1.3847886323928833,C#,minor,1534.0859375,0.5166666666666667,0.3166666666666666,0.1666666666666666,60.0,0.42850354596447127,3.988221122134001,27.21525001525879
81,AZYR,Teletech,1287,Alignment - Close your eyes,1457.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.16468811035156,132995.640625,1.0162402391433716,Eb,major,2710.011474609375,0.75,0.25,0.0,4.0,0.8773086586603844,6.1118826363958005,31.819311141967773
82,Chase & Status,London,1290,Dimension - UK (Bou Remix),1380.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",172.26571655273438,599545.5,1.2128559350967407,F,major,7432.60302734375,0.4230769230769231,0.3076923076923077,0.2692307692307692,26.0,0.320971487933941,7.84442942422668,54.90001678466797
83,Fred Again..,London,1309,Skrillex & Fred again.. - Stay with me,1489.0,Fred again.. ｜ Boiler Room： London,/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Fred again.. ｜ Boiler Room： London.mp3,127.9882354736328,554701.6875,1.0730820894241333,F,major,7055.37255859375,0.0,0.0,0.0,0.0,0.12983774625177397,6.2219310654916455,28.252216339111328
84,MInanokimochi,Tokyo,1321,Sun Angels - 777,1436.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",135.41104125976562,497396.78125,1.2981337308883667,F,major,6558.296875,0.4528301886792453,0.3396226415094339,0.2075471698113207,53.0,0.38833072546395175,6.796737327343887,41.387943267822266
85,Chase & Status,London,1380,Chase & Status ft. Stefflon Don - Selecta,1550.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",172.2655792236328,1246898.75,1.2152533531188965,E,minor,12139.6728515625,0.4383561643835616,0.2671232876712329,0.2945205479452055,146.0,0.301064372155321,7.413798667569278,51.94717025756836
86,Peggy Gou,Amsterdam,1394,Philly Slitter - Morning Scent [?],1652.0,"Peggy Gou  Boiler Room x Dekmantel Festival Amsterdam - Boiler Room (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Peggy Gou  Boiler Room x Dekmantel Festival Amsterdam - Boiler Room (720p, h264, youtube).mp3",125.00257110595705,94555.734375,1.457409143447876,A,minor,2156.308837890625,0.4285714285714285,0.3877551020408163,0.1836734693877551,49.0,0.319278508769741,3.8088167882722814,48.913578033447266
